t,p_x,p_y,p_z,v_x,v_y,v_z,a_lin_x,a_lin_y,a_lin_z,j_lin_x,j_lin_y,j_lin_z,heading,heading_rate,total_vel,total_acc,total_jerk,phi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,
0.002,0.0,0.0,5.333333333333333e-09,0.0,0.0,8e-06,0.0,0.0,0.008,0.0,0.0,4.0,0.0,0.0,8e-06,0.008,4.0,
0.004,0.0,0.0,4.2666666666666665e-08,0.0,0.0,3.2e-05,0.0,0.0,0.016,0.0,0.0,4.0,0.0,0.0,3.2e-05,0.016,4.0,
0.006,0.0,0.0,1.44e-07,0.0,0.0,7.2e-05,0.0,0.0,0.024,0.0,0.0,4.0,0.0,0.0,7.2e-05,0.024,4.0,
0.008,0.0,0.0,3.413333333333333e-07,0.0,0.0,0.000128,0.0,0.0,0.032,0.0,0.0,4.0,0.0,0.0,0.000128,0.032,4.0,
0.01,0.0,0.0,6.666666666666667e-07,0.0,0.0,0.0002,0.0,0.0,0.04,0.0,0.0,4.0,0.0,0.0,0.0002,0.04,4.0,
0.012,0.0,0.0,1.152e-06,0.0,0.0,0.000288,0.0,0.0,0.048,0.0,0.0,4.0,0.0,0.0,0.000288,0.048,4.0,
0.014,0.0,0.0,1.8293333333333334e-06,0.0,0.0,0.00039200000000000004,0.0,0.0,0.056,0.0,0.0,4.0,0.0,0.0,0.00039200000000000004,0.056,4.0,
0.016,0.0,0.0,2.7306666666666666e-06,0.0,0.0,0.000512,0.0,0.0,0.064,0.0,0.0,4.0,0.0,0.0,0.000512,0.064,4.0,
0.018000000000000002,0.0,0.0,3.888000000000001e-06,0.0,0.0,0.0006480000000000001,0.0,0.0,0.07200000000000001,0.0,0.0,4.0,0.0,0.0,0.0006480000000000001,0.07200000000000001,4.0,
0.02,0.0,0.0,5.333333333333334e-06,0.0,0.0,0.0008,0.0,0.0,0.08,0.0,0.0,4.0,0.0,0.0,0.0008,0.08,4.0,
0.022,0.0,0.0,7.098666666666665e-06,0.0,0.0,0.0009679999999999999,0.0,0.0,0.088,0.0,0.0,4.0,0.0,0.0,0.0009679999999999999,0.088,4.0,
0.024,0.0,0.0,9.216e-06,0.0,0.0,0.001152,0.0,0.0,0.096,0.0,0.0,4.0,0.0,0.0,0.001152,0.096,4.0,
